id,service_recordid,taxonomy_recordid,taxonomy_id,taxonomy_detail
8570,8473,8570,HD-1800.6500-150,
8571,8474,8571,HD-1800.6500-150,
8572,8475,8572,HD-1800.6500-150,
8573,8476,8573,HD-1800.6500-150,
8574,8477,8574,HD-1800.6500-150,
8575,8478,8575,HD-1800.6500-150,
8576,8479,8576,HD-1800.6500-150,
8577,8480,8577,HD-1800.6500-150,
8578,8481,8578,HD-1800.6500-150,
8579,8483,8579,HD-1800.6500-150,
8580,8484,8580,HD-1800.6500-150,
8581,8485,8581,HD-1800.6500-150,
8582,8486,8582,HD-1800.6500-150,
8583,8487,8583,PH-2400.1500,
8584,8488,8584,PH-1400.5000-050,
8585,8488,8585,FF-1900,
8586,8489,8586,PH-6100.1800-250,
8587,8490,8587,PH-1000,
8588,8491,8588,PH-1000,
8589,8492,8589,PH-1000,
8590,8493,8590,RP-1500.1500,
8591,8494,8591,RX-1700.0500-330,
8592,8494,8592,RX-1700.1700-330,
8593,8495,8593,PH-2360.2350,
8594,8496,8594,PH-2360.2350,
8595,8497,8595,PH-2360.2350,
8596,8498,8596,PH-1000,
8597,8499,8597,RF-3300,
8598,8499,8598,RF-2000,
8599,8500,8599,RF-2000,
8600,8500,8600,RF-3300,
8601,8501,8601,RF-2000,
8602,8501,8602,RF-3300,
8603,8502,8603,FF-0500.1800-300,
8604,8503,8604,RF-3300,
8605,8503,8605,TJ-3000.8000,
8606,8503,8606,RX-0400.2500,
8607,8504,8607,RF-3300,
8608,8504,8608,RX-0400.2500,
8609,8504,8609,TJ-3000.8000,
8610,8505,8610,RF-3300,
8611,8505,8611,RX-0400.2500,
8612,8505,8612,TJ-3000.8000,
8613,8506,8613,RX-8450.7000-700,
8614,8506,8614,RX-8450.7000-750,
8615,8507,8615,RM-6500.1500,
8616,8509,8616,PH-6100.6800,
8617,8509,8617,PN-8100.0200-180,
8618,8509,8618,PN-8100.0500-180,
8619,8509,8619,PN-8100.5000,
8620,8509,8620,PN-8100.0500-070,
8621,8509,8621,RP-1400.8000-070,
8622,8510,8622,PH-6100.6800,
8623,8510,8623,PN-8100.0200-180,
8624,8510,8624,PN-8100.0500-070,
8625,8510,8625,PN-8100.0500-180,
8626,8510,8626,PN-8100.5000,
8627,8510,8627,RP-1400.8000-070,
8628,8511,8628,PH-6100.6800,
8629,8511,8629,PN-8100.0200-180,
8630,8511,8630,PN-8100.0500-070,
8631,8511,8631,PN-8100.0500-180,
8632,8511,8632,PN-8100.5000,
8633,8511,8633,RP-1400.8000-070,
8634,8512,8634,BH-8400.3000,
8635,8512,8635,PH-1000,
8636,8513,8636,BH-8400.3000,
8637,8513,8637,PH-1000,
8638,8514,8638,BH-8400.3000,
8639,8514,8639,PH-1000,
8640,8515,8640,ND-6500.8120,
8641,8515,8641,RM-6500.5000,
8642,8516,8642,RX-8250.1700,
8643,8516,8643,RX-8250.0500,
8644,8517,8644,RX-8250.0500,
8645,8517,8645,RX-8250.1700,
8646,8518,8646,RX-8250.0500,
8647,8518,8647,RX-8250.1700,
8648,8519,8648,LE,
8649,8520,8649,RM-7000.0500,
8650,8521,8650,RX-8450.1150-150,
8651,8521,8651,RX-8450.1150-180,
8652,8521,8652,RX-8450.8000-050,
8653,8521,8653,RX-8450.8000-180,
8654,8521,8654,RX-8450.8100-050,
8655,8521,8655,RX-8450.8100-180,
8656,8521,8656,PH-1000,
8657,8522,8657,JR-1900.2000,
8658,8522,8658,JR-1950,
8659,8522,8659,LJ-5000.8000,
8660,8523,8660,JR-1900.2000,
8661,8523,8661,JR-1950,
8662,8523,8662,LJ-5000.8000,
8663,8524,8663,JR-1900.2000,
8664,8524,8664,JR-1950,
8665,8524,8665,LJ-5000.8000,
8666,8527,8666,RP-1500.3300,
8667,8528,8667,RP-1500.3300,
8668,8529,8668,RP-1500.3300,
8669,8530,8669,BT-4500.6500-500,
8670,8531,8670,BT-4500.6500-500,
8671,8532,8671,BT-4500.6500-500,
8672,8533,8672,PH-6100.6800,
8673,8533,8673,PN-8100.0200-180,
8674,8533,8674,PN-8100.0500-070,
8675,8533,8675,PN-8100.0500-180,
8676,8533,8676,PN-8100.5000,
8677,8533,8677,RP-1400.8000-070,
8678,8534,8678,PH-6100.6800,
8679,8534,8679,PN-8100.0200-180,
8680,8534,8680,PN-8100.0500-070,
8681,8534,8681,PN-8100.0500-180,
8682,8534,8682,PN-8100.5000,
8683,8534,8683,RP-1400.8000-070,
8684,8535,8684,PH-6100.6800,
8685,8535,8685,PN-8100.0200-180,
8686,8535,8686,PN-8100.0500-070,
8687,8535,8687,PN-8100.0500-180,
8688,8535,8688,PN-8100.5000,
8689,8535,8689,RP-1400.8000-070,
8690,8536,8690,TJ-6500.6300,
8691,8537,8691,TJ-6500.6300,
